Feature,Importance,Importance_std
Contract,0.21057129716153522,0.020298067668833016
Number of Referrals,0.10454088844793415,0.013716194233103716
Tenure in Months,0.049574634273196694,0.012405352934718792
Number of Dependents,0.03217136293211474,0.006170571549980467
Monthly Charge,0.026872653737068996,0.008497312929206904
Age,0.024597514989071978,0.009852750677286186
City,0.022809779762501627,0.006339976283179983
Payment Method,0.007115919273659332,0.00519244038859206
Latitude,0.007108797448550708,0.005403463359977937
Streaming Music,0.005767680208696946,0.003786666180345413
Zip Code,0.00510734688528125,0.0043354078109466825
Longitude,0.0042547305399668,0.0035919633451770203
Streaming TV,0.0031021927580496046,0.004225501776875407
Offer,0.003086749874555106,0.001618418093970396
Online Backup,0.00301787534280471,0.002431287588648356
Online Security,0.00046938838804553293,0.004619290374207893
Multiple Lines,0.00045023435596084347,0.0018100949959382437
Unlimited Data,0.00026636180418869725,0.0008307226478063796
Gender,9.711708416434428e-05,0.000814652998193293
Internet Service,3.817840392018601e-05,0.006754474145835285
Avg Monthly GB Download,0.0,0.0
Device Protection Plan,0.0,0.0
Married,-0.00024392072324989079,0.0030367777611464046
Total Extra Data Charges,-0.0006147210790014457,0.0014336579239502749
Internet Type,-0.0006697661475415062,0.0012933665019162828
Paperless Billing,-0.0007554122190608248,0.005682386974946891
Total Refunds,-0.0007997530606866143,0.0005472209527711658
Phone Service,-0.0009675070412633602,0.00040752530709395427
Avg Monthly Long Distance Charges,-0.0013626156848982828,0.002322529977142917
Streaming Movies,-0.001563180726227098,0.002296454577130355
Premium Tech Support,-0.0018979553382525772,0.004274902950487573
Total Long Distance Charges,-0.003341924191926826,0.003018800512637784
Total Revenue,-0.003878258083292352,0.00563988863107581
Total Charges,-0.009856044187166745,0.003062939364804212
