Feature,Importance,Importance_std
Contract,0.22101587364535477,0.02190075860753414
Number of Referrals,0.1152867306935601,0.018805440770485963
Tenure in Months,0.05934422106771322,0.009726060444660236
Number of Dependents,0.03989990310813339,0.005226435943814199
Age,0.03583337268916913,0.010365250971015825
Monthly Charge,0.03203886555038972,0.007683556662034776
Zip Code,0.014295939216744779,0.0033488380560420497
Latitude,0.013785176100217112,0.007463281057480973
Total Long Distance Charges,0.010624475227266417,0.004339065801502369
Payment Method,0.009132358698032184,0.00309354958058688
Online Security,0.0067156791567383745,0.006434186121916997
Total Charges,0.005841974648462822,0.002408595041148796
Married,0.005390899281730343,0.0038251798035508653
Streaming Movies,0.002484399544817717,0.0024871313917539657
Streaming TV,0.0023894745811148697,0.001903764403941171
Multiple Lines,0.0020973542609138084,0.0030815105703048537
Gender,0.0020864230988218322,0.0014940703096801367
Internet Type,0.0020145619173600913,0.0015351114347369726
Streaming Music,0.001779609136667659,0.0044980238344691365
Avg Monthly GB Download,0.001105926809998581,0.0023850214065803937
Offer,0.0010881667577498754,0.0019661022200325113
Total Extra Data Charges,0.00087820288930186,0.001111234611237746
Device Protection Plan,0.0005768025078369598,0.0004709572755194156
Online Backup,0.00024711524004905616,0.002510614203150353
Avg Monthly Long Distance Charges,0.00022935557326814182,0.00395185748886469
Total Refunds,8.443534043215407e-05,0.0013036215182114215
Unlimited Data,0.0,0.0
Phone Service,0.0,0.0
Total Revenue,-0.00038649536463272185,0.0028421044120192683
Longitude,-0.0009071625022345264,0.005904451646687344
Paperless Billing,-0.0031825210403420346,0.0055784618127822224
Premium Tech Support,-0.003442101243941742,0.0037361061590712855
Internet Service,-0.006925192198630925,0.002984000510907162
